instrument,TF,TL,T,TS
TF,5.4220594704788666e-06,5.9775640061394188e-05,3.9983269937714093e-06,1.1791420056699462e-06
TL,5.9775640061394188e-05,1.3224963568303466e-05,4.087498504214408e-05,2.047640296197783e-05
T,3.9983269937714093e-06,4.087498504214408e-05,7.446301875440831e-06,4.2207684417229423e-06
TS,1.1791420056699462e-06,2.047640296197783e-05,4.2207684417229423e-06,3.9683742147038647e-07
