instrument,TF,TL,T,TS
TF,0.051788441299822352,0.30837194456126327,0.1189428841621564,0.043680799428866768
TL,0.30837194456126327,0.5135954906785074,0.39605317007763696,0.14763585277107705
T,0.1189428841621564,0.39605317007763696,0.076322689372060326,0.056990659477670159
TS,0.043680799428866768,0.14763585277107705,0.056990659477670159,0.010943549485868325
