instrument,TF,TL,T,TS
TF,1.0,0.7559935956980006,0.9465752017878403,0.9144216677058656
TL,0.7559935956980006,1.0,0.8469200885752329,0.6528499745887023
T,0.9465752017878403,0.8469200885752329,1.0,0.8459608384447707
TS,0.9144216677058656,0.6528499745887023,0.8459608384447707,1.0
