method,runtime_ms,samples,actual_euler_steps,final_level,max_standard_error,bias_bound,estimated_rmse
standard,14619.811374999999,8409664,25745192,7,0.0075246775209396825,0.0049973491551854833,0.0090329546867549387
koerber,13645.512624999999,8409664,25745192,7,0.0077314707566797525,0.0043871320870629126,0.0088894638764512209
