trading_date,TF,TL,T,TS
2023-04-21,104.41699999999999,96.03,114.015,104.37499999999999
2023-04-24,104.52699999999999,96.34,114.205,104.39999999999998
2023-04-25,104.52199999999999,96.38,114.185,104.39499999999998
2023-04-26,104.53699999999999,96.39,114.22,104.39999999999998
2023-04-27,104.71199999999999,96.7,114.50500000000001,104.46499999999999
2023-04-28,104.67199999999998,96.57,114.405,104.44499999999998
2023-05-04,104.752,97.0,114.61500000000001,104.49499999999999
2023-05-05,104.91699999999999,97.31,114.805,104.56499999999998
2023-05-08,104.90199999999999,97.23,114.775,104.56499999999998
2023-05-09,104.91699999999999,97.12,114.78,104.57499999999999
2023-05-10,105.00699999999999,97.36,114.94500000000001,104.59499999999998
2023-05-11,105.13699999999999,97.48,115.08,104.64999999999998
2023-05-12,105.10699999999999,97.31,114.955,104.61999999999999
2023-05-15,105.14699999999999,97.29,115.00500000000001,104.62499999999999
2023-05-16,104.99199999999999,97.15,114.87,104.52999999999999
2023-05-17,105.04199999999999,97.26,114.955,104.52999999999999
2023-05-18,104.97699999999999,97.0,114.78,104.47499999999998
2023-05-19,105.05699999999997,97.14,114.86,104.50499999999998
2023-05-22,105.27199999999998,97.33,115.08000000000001,104.56999999999998
2023-05-23,105.36199999999998,97.46000000000001,115.21000000000001,104.625
2023-05-24,105.33199999999998,97.54,115.21000000000001,104.615
2023-05-25,105.34699999999998,97.42,115.215,104.615
2023-05-26,105.27199999999998,97.18,115.075,104.585
2023-05-29,105.27199999999998,97.2,115.075,104.60499999999999
2023-05-30,105.37199999999999,97.35000000000001,115.19500000000001,104.67
2023-05-31,105.32699999999998,97.28,115.135,104.675
2023-06-01,105.42699999999998,97.42,115.23,104.735
2023-06-02,105.40199999999999,97.44,115.215,104.72
2023-06-05,105.26199999999999,97.23,115.08500000000001,104.705
2023-06-06,105.32199999999997,97.31,115.21000000000001,104.755
2023-06-07,105.41699999999997,97.58,115.37,104.77
2023-06-08,105.31199999999998,97.5,115.305,104.72
2023-06-09,105.37699999999998,97.66,115.375,104.735
2023-06-12,105.47699999999998,97.94,115.52000000000001,104.75999999999999
2023-06-13,105.72699999999998,98.5,115.88000000000001,104.875
2023-06-14,105.71199999999997,98.67,115.89500000000001,104.85
2023-06-15,105.48199999999999,98.16,115.575,104.77
2023-06-16,105.30699999999997,97.75,115.31,104.725
2023-06-19,105.14199999999998,97.44,115.075,104.64
2023-06-20,105.24199999999998,97.63000000000001,115.215,104.69999999999999
2023-06-21,105.32199999999997,97.73,115.28,104.72
2023-06-26,105.39199999999998,97.95,115.375,104.74
2023-06-27,105.29699999999998,97.85000000000001,115.245,104.71
2023-06-28,105.42199999999998,98.05,115.41000000000001,104.755
2023-06-29,105.50699999999998,98.16,115.49000000000001,104.795
2023-06-30,105.57699999999998,98.28,115.53500000000001,104.82499999999999
2023-07-03,105.55699999999997,98.27000000000001,115.53,104.815
2023-07-04,105.61199999999998,98.3,115.59500000000001,104.82499999999999
2023-07-05,105.59699999999998,98.21000000000001,115.53,104.815
2023-07-06,105.66199999999998,98.45,115.62,104.83
2023-07-07,105.64699999999998,98.47,115.605,104.845
2023-07-10,105.63199999999998,98.52000000000001,115.60000000000001,104.82499999999999
2023-07-11,105.65699999999998,98.69,115.69000000000001,104.83999999999999
2023-07-12,105.60199999999998,98.63000000000001,115.635,104.795
2023-07-13,105.56199999999998,98.71000000000001,115.655,104.78
2023-07-14,105.59699999999998,98.69,115.635,104.80999999999999
2023-07-17,105.68199999999997,98.87,115.775,104.85
2023-07-18,105.70699999999998,99.05,115.84500000000001,104.86
2023-07-19,105.75699999999998,99.15,115.89500000000001,104.875
2023-07-20,105.74199999999998,99.12,115.86,104.86999999999999
2023-07-21,105.83699999999997,99.49000000000001,116.0,104.89999999999999
2023-07-24,105.82699999999998,99.69,115.995,104.91499999999999
2023-07-25,105.57199999999997,99.14,115.625,104.82499999999999
2023-07-26,105.54199999999997,99.25,115.625,104.795
2023-07-27,105.71699999999998,99.63000000000001,115.84500000000001,104.86999999999999
2023-07-28,105.65199999999999,99.48,115.76,104.835
2023-07-31,105.55699999999997,99.17,115.60000000000001,104.82
2023-08-01,105.67199999999998,99.53,115.78500000000001,104.86999999999999
2023-08-02,105.68199999999997,99.61,115.78,104.86999999999999
2023-08-03,105.75199999999998,99.7,115.87,104.895
2023-08-04,105.79199999999997,99.8,115.92,104.895
2023-08-07,105.77199999999998,99.8,115.92,104.86999999999999
2023-08-08,105.77699999999999,99.84,115.95500000000001,104.85499999999999
2023-08-09,105.78199999999998,99.83,115.985,104.865
2023-08-10,105.75699999999998,99.79,115.94500000000001,104.86
2023-08-11,105.80699999999997,99.91,116.0,104.865
2023-08-14,105.93199999999997,100.25,116.19000000000001,104.91499999999999
2023-08-15,106.09699999999998,100.86,116.44000000000001,104.975
2023-08-16,106.11699999999998,101.05,116.44500000000001,104.96
2023-08-17,106.05699999999997,100.89,116.385,104.945
2023-08-18,106.08199999999998,101.07000000000001,116.44500000000001,104.94
2023-08-21,106.13199999999998,101.59,116.62,104.97
